,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
Blacklights,0.5,0.645,11,-9.292,0,0.316,0.00988,0.0,0.196,0.147,197.84,audio_features,0oFmVpZmt2Z3jS0wPvLrFZ,spotify:track:0oFmVpZmt2Z3jS0wPvLrFZ,https://api.spotify.com/v1/tracks/0oFmVpZmt2Z3jS0wPvLrFZ,https://api.spotify.com/v1/audio-analysis/0oFmVpZmt2Z3jS0wPvLrFZ,223173,4,46,"['hip hop quebecois', 'indie quebecois']"
Au travers des ombres,0.595,0.684,1,-8.511,0,0.0757,0.149,0.00898,0.196,0.191,97.05,audio_features,48d2m7mIsAmubPU1hHUvnb,spotify:track:48d2m7mIsAmubPU1hHUvnb,https://api.spotify.com/v1/tracks/48d2m7mIsAmubPU1hHUvnb,https://api.spotify.com/v1/audio-analysis/48d2m7mIsAmubPU1hHUvnb,203013,4,25,[]
Love - Version Française,0.601,0.578,5,-7.328,1,0.0366,0.525,2.59e-06,0.498,0.336,78.278,audio_features,6HcZGZJG7t9t5oD4EqlDLv,spotify:track:6HcZGZJG7t9t5oD4EqlDLv,https://api.spotify.com/v1/tracks/6HcZGZJG7t9t5oD4EqlDLv,https://api.spotify.com/v1/audio-analysis/6HcZGZJG7t9t5oD4EqlDLv,162982,4,27,['pop quebecois']
Papillon,0.558,0.51,6,-9.001,0,0.0407,0.0741,0.00302,0.0918,0.231,100.013,audio_features,3ADTYIvtpOuY0NM5KVW93l,spotify:track:3ADTYIvtpOuY0NM5KVW93l,https://api.spotify.com/v1/tracks/3ADTYIvtpOuY0NM5KVW93l,https://api.spotify.com/v1/audio-analysis/3ADTYIvtpOuY0NM5KVW93l,238413,4,26,"['french pop', 'operatic pop']"
Un peu de toi,0.51,0.662,5,-8.343,1,0.0248,0.0748,7.25e-05,0.208,0.754,87.987,audio_features,3lZlVaMLEGD8TH6Red12zw,spotify:track:3lZlVaMLEGD8TH6Red12zw,https://api.spotify.com/v1/tracks/3lZlVaMLEGD8TH6Red12zw,https://api.spotify.com/v1/audio-analysis/3lZlVaMLEGD8TH6Red12zw,238400,4,0,['pop quebecois']
Cinq à sept,0.661,0.498,8,-7.26,1,0.351,0.157,0.0,0.2,0.677,96.029,audio_features,6XS5Qi2wUMgj88QdBXx69B,spotify:track:6XS5Qi2wUMgj88QdBXx69B,https://api.spotify.com/v1/tracks/6XS5Qi2wUMgj88QdBXx69B,https://api.spotify.com/v1/audio-analysis/6XS5Qi2wUMgj88QdBXx69B,208467,4,47,"['hip hop quebecois', 'indie quebecois']"
Polaroid,0.599,0.66,10,-5.22,1,0.0297,0.0733,0.0,0.299,0.46,99.961,audio_features,7pbhrSSvlxCO75zoCp7Agt,spotify:track:7pbhrSSvlxCO75zoCp7Agt,https://api.spotify.com/v1/tracks/7pbhrSSvlxCO75zoCp7Agt,https://api.spotify.com/v1/audio-analysis/7pbhrSSvlxCO75zoCp7Agt,206227,4,35,['pop quebecois']
Montreal,0.497,0.803,5,-4.46,0,0.132,0.0447,1.77e-05,0.424,0.155,183.883,audio_features,6fRgjqJptZry7fipP2Beyh,spotify:track:6fRgjqJptZry7fipP2Beyh,https://api.spotify.com/v1/tracks/6fRgjqJptZry7fipP2Beyh,https://api.spotify.com/v1/audio-analysis/6fRgjqJptZry7fipP2Beyh,250520,4,56,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Explosif,0.527,0.645,10,-6.659,0,0.315,0.364,0.0,0.621,0.265,110.089,audio_features,7tm7eVsfOryDmfT3bflSW0,spotify:track:7tm7eVsfOryDmfT3bflSW0,https://api.spotify.com/v1/tracks/7tm7eVsfOryDmfT3bflSW0,https://api.spotify.com/v1/audio-analysis/7tm7eVsfOryDmfT3bflSW0,481800,4,38,"['hip hop quebecois', 'rap montrealais']"
With You (version française),0.685,0.54,2,-6.392,1,0.0956,0.619,0.0,0.159,0.469,97.637,audio_features,4xdklKIbNKPkVuwKTiNsX0,spotify:track:4xdklKIbNKPkVuwKTiNsX0,https://api.spotify.com/v1/tracks/4xdklKIbNKPkVuwKTiNsX0,https://api.spotify.com/v1/audio-analysis/4xdklKIbNKPkVuwKTiNsX0,198773,4,42,['pop quebecois']
Lendemain,0.863,0.605,0,-7.371,1,0.244,0.224,0.0,0.177,0.842,90.021,audio_features,1EQadWAm6D0QiYgT8bSLiQ,spotify:track:1EQadWAm6D0QiYgT8bSLiQ,https://api.spotify.com/v1/tracks/1EQadWAm6D0QiYgT8bSLiQ,https://api.spotify.com/v1/audio-analysis/1EQadWAm6D0QiYgT8bSLiQ,153840,4,49,"['hip hop quebecois', 'indie quebecois']"
J'pas stressée,0.662,0.745,9,-5.025,1,0.0473,0.062,1.27e-06,0.232,0.479,108.331,audio_features,1Lr1fZEW6vmODwnkQCOWrL,spotify:track:1Lr1fZEW6vmODwnkQCOWrL,https://api.spotify.com/v1/tracks/1Lr1fZEW6vmODwnkQCOWrL,https://api.spotify.com/v1/audio-analysis/1Lr1fZEW6vmODwnkQCOWrL,166776,4,44,['indie quebecois']
Aime/Pardonne,0.579,0.578,0,-9.123,1,0.0267,0.0586,0.000178,0.475,0.731,130.994,audio_features,6J3HYDJeniy1wnuy5Ujpzs,spotify:track:6J3HYDJeniy1wnuy5Ujpzs,https://api.spotify.com/v1/tracks/6J3HYDJeniy1wnuy5Ujpzs,https://api.spotify.com/v1/audio-analysis/6J3HYDJeniy1wnuy5Ujpzs,167979,4,0,[]
Where They @,0.795,0.527,1,-6.092,1,0.133,0.108,0.0,0.636,0.303,88.042,audio_features,3pPqtaEJIwJ6XJZYCEhUba,spotify:track:3pPqtaEJIwJ6XJZYCEhUba,https://api.spotify.com/v1/tracks/3pPqtaEJIwJ6XJZYCEhUba,https://api.spotify.com/v1/audio-analysis/3pPqtaEJIwJ6XJZYCEhUba,272947,4,39,"['hip hop quebecois', 'rap montrealais']"
Je décolle,0.715,0.571,0,-5.714,0,0.0358,0.517,0.0,0.109,0.641,95.004,audio_features,4QCpRXj5PBZG1b9fCEIPTp,spotify:track:4QCpRXj5PBZG1b9fCEIPTp,https://api.spotify.com/v1/tracks/4QCpRXj5PBZG1b9fCEIPTp,https://api.spotify.com/v1/audio-analysis/4QCpRXj5PBZG1b9fCEIPTp,210333,4,35,['pop quebecois']
Enfant de l'asphalte,0.651,0.777,6,-6.1,0,0.445,0.0588,0.0,0.686,0.528,85.884,audio_features,5hlAF7U9HtFGu9XuVNrnCj,spotify:track:5hlAF7U9HtFGu9XuVNrnCj,https://api.spotify.com/v1/tracks/5hlAF7U9HtFGu9XuVNrnCj,https://api.spotify.com/v1/audio-analysis/5hlAF7U9HtFGu9XuVNrnCj,203933,4,40,"['hip hop quebecois', 'indie quebecois']"
Des p'tits bouts de toi (Version 2018),0.78,0.852,1,-3.792,1,0.101,0.429,0.0,0.0842,0.778,109.81,audio_features,4xf8fYrAtaZAQCTGht76DD,spotify:track:4xf8fYrAtaZAQCTGht76DD,https://api.spotify.com/v1/tracks/4xf8fYrAtaZAQCTGht76DD,https://api.spotify.com/v1/audio-analysis/4xf8fYrAtaZAQCTGht76DD,176308,4,47,['indie quebecois']
Toutes les femmes savent danser,0.738,0.554,1,-7.805,1,0.0774,0.0981,0.000379,0.47,0.675,96.0,audio_features,4wWe5g3mTIJ72lq8BIIgX2,spotify:track:4wWe5g3mTIJ72lq8BIIgX2,https://api.spotify.com/v1/tracks/4wWe5g3mTIJ72lq8BIIgX2,https://api.spotify.com/v1/audio-analysis/4wWe5g3mTIJ72lq8BIIgX2,161173,4,54,"['hip hop quebecois', 'pop quebecois', 'rap conscient', 'rap montrealais']"
Ne me laisse pas tomber,0.782,0.693,1,-4.93,1,0.0975,0.285,0.0,0.109,0.881,93.98,audio_features,4csLhRHXtwOJL9T8y9Y3Vh,spotify:track:4csLhRHXtwOJL9T8y9Y3Vh,https://api.spotify.com/v1/tracks/4csLhRHXtwOJL9T8y9Y3Vh,https://api.spotify.com/v1/audio-analysis/4csLhRHXtwOJL9T8y9Y3Vh,192727,4,35,['pop quebecois']
Encore un soir,0.764,0.527,8,-7.871,0,0.0441,0.315,3.72e-06,0.0793,0.224,103.028,audio_features,51yjUe42smRbgWvg9i9pFa,spotify:track:51yjUe42smRbgWvg9i9pFa,https://api.spotify.com/v1/tracks/51yjUe42smRbgWvg9i9pFa,https://api.spotify.com/v1/audio-analysis/51yjUe42smRbgWvg9i9pFa,263440,4,54,"['canadian pop', 'dance pop']"
Tout le monde,0.71,0.536,10,-7.869,0,0.0476,0.28,0.0,0.318,0.823,154.928,audio_features,7uCBYz904ryLO29iQ1ecxa,spotify:track:7uCBYz904ryLO29iQ1ecxa,https://api.spotify.com/v1/tracks/7uCBYz904ryLO29iQ1ecxa,https://api.spotify.com/v1/audio-analysis/7uCBYz904ryLO29iQ1ecxa,207074,4,40,"['francoton', 'french pop']"
