,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
Funeral,0.4,0.842,0,-4.933,0,0.176,0.00218,0.000667,0.198,0.292,139.953,audio_features,3F9vo4ueI8V0fIy1rLmY5m,spotify:track:3F9vo4ueI8V0fIy1rLmY5m,https://api.spotify.com/v1/tracks/3F9vo4ueI8V0fIy1rLmY5m,https://api.spotify.com/v1/audio-analysis/3F9vo4ueI8V0fIy1rLmY5m,137250,4,31,['escape room']
The Stable Song,0.625,0.432,2,-11.948,1,0.0283,0.633,0.00242,0.127,0.361,137.926,audio_features,3G9ETaH55bMQx8hwNhAgbU,spotify:track:3G9ETaH55bMQx8hwNhAgbU,https://api.spotify.com/v1/tracks/3G9ETaH55bMQx8hwNhAgbU,https://api.spotify.com/v1/audio-analysis/3G9ETaH55bMQx8hwNhAgbU,360933,4,65,"['chamber pop', 'indie folk', 'neo mellow', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']"
raingurl,0.929,0.572,6,-6.928,0,0.0506,0.017,0.00353,0.122,0.288,128.014,audio_features,4gRAniZdYF2zVrDUsNC9tU,spotify:track:4gRAniZdYF2zVrDUsNC9tU,https://api.spotify.com/v1/tracks/4gRAniZdYF2zVrDUsNC9tU,https://api.spotify.com/v1/audio-analysis/4gRAniZdYF2zVrDUsNC9tU,237231,4,65,"['art pop', 'electropop', 'escape room', 'experimental house']"
Winter Wheat,0.744,0.21,2,-15.663,1,0.0359,0.736,0.161,0.122,0.0972,112.735,audio_features,4UPMY9WcvI2Pi4DX3CFqT7,spotify:track:4UPMY9WcvI2Pi4DX3CFqT7,https://api.spotify.com/v1/tracks/4UPMY9WcvI2Pi4DX3CFqT7,https://api.spotify.com/v1/audio-analysis/4UPMY9WcvI2Pi4DX3CFqT7,172483,4,25,"['canadian folk', 'canadian indie', 'manitoba indie']"
I've Never Been There,0.638,0.384,7,-7.193,1,0.047,0.926,0.341,0.44,0.766,99.967,audio_features,4sfQLckYrlc2cXaZcgDdSu,spotify:track:4sfQLckYrlc2cXaZcgDdSu,https://api.spotify.com/v1/tracks/4sfQLckYrlc2cXaZcgDdSu,https://api.spotify.com/v1/audio-analysis/4sfQLckYrlc2cXaZcgDdSu,95093,4,32,"['bow pop', 'compositional ambient', 'french soundtrack']"
Robots,0.509,0.597,2,-6.347,1,0.0396,0.332,0.0,0.104,0.38,123.477,audio_features,3nN47sMhPjr3mP5NEaWU7i,spotify:track:3nN47sMhPjr3mP5NEaWU7i,https://api.spotify.com/v1/tracks/3nN47sMhPjr3mP5NEaWU7i,https://api.spotify.com/v1/audio-analysis/3nN47sMhPjr3mP5NEaWU7i,244507,4,36,"['canadian folk', 'canadian indie', 'canadian singer-songwriter', 'deep new americana', 'indie folk', 'vancouver indie']"
The Last Supper,0.391,0.391,7,-8.091,1,0.0342,0.581,0.0,0.102,0.215,127.087,audio_features,0qIAF23777O6s6rMs2favX,spotify:track:0qIAF23777O6s6rMs2favX,https://api.spotify.com/v1/tracks/0qIAF23777O6s6rMs2favX,https://api.spotify.com/v1/audio-analysis/0qIAF23777O6s6rMs2favX,428176,4,29,[]
I Think You're Alright,0.557,0.475,2,-7.971,1,0.0279,0.00249,0.178,0.629,0.417,140.129,audio_features,5txdfbqkdeG75mELpuZXSp,spotify:track:5txdfbqkdeG75mELpuZXSp,https://api.spotify.com/v1/tracks/5txdfbqkdeG75mELpuZXSp,https://api.spotify.com/v1/audio-analysis/5txdfbqkdeG75mELpuZXSp,226286,4,48,"['art pop', 'bay area indie', 'chamber pop', 'chillwave', 'dream pop', 'electropop', 'experimental pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'noise pop', 'nu gaze', 'oakland indie', 'small room']"
Bodak Yellow,0.926,0.703,11,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,audio_features,6KBYefIoo7KydImq1uUQlL,spotify:track:6KBYefIoo7KydImq1uUQlL,https://api.spotify.com/v1/tracks/6KBYefIoo7KydImq1uUQlL,https://api.spotify.com/v1/audio-analysis/6KBYefIoo7KydImq1uUQlL,223713,4,74,"['pop', 'pop rap', 'rap']"
Winterwood,0.651,0.342,9,-15.601,1,0.0297,0.761,0.000106,0.149,0.713,147.724,audio_features,2k6wHVi4WetZAHr6liaZbl,spotify:track:2k6wHVi4WetZAHr6liaZbl,https://api.spotify.com/v1/tracks/2k6wHVi4WetZAHr6liaZbl,https://api.spotify.com/v1/audio-analysis/2k6wHVi4WetZAHr6liaZbl,190827,4,32,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'traditional folk']"
